tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0066206|movie|Patton|1970|172|Biography,Drama,War|"""""""Patton"""" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination."""|1/25/70|The Rebel Warrior|7.9|102695
tt0066580|movie|Woodstock|1970|184|Documentary,History,Music|An intimate look at the Woodstock Music & Art Festival held in Bethel, NY in 1969, from preparation through cleanup, with historic access to insiders, blistering concert footage, and portraits of the concertgoers; negative and positive aspects are shown, from drug use by performers to naked fans sliding in the mud, from the collapse of the fences by the unexpected hordes to the surreal arrival of National Guard helicopters with food and medical assistance for the impromptu city of 500,000.|3/26/70|3 days of peace, music...and love.|8.1|17525
tt0066892|movie|Carnal Knowledge|1971|98|Drama|The concurrent sexual lives of best friends Jonathan and Sandy are presented, those lives which are affected by the sexual mores of the time and their own temperament, especially in relation to the respective women who end up in their lives.|10/21/71|Everyone needs to be loved - sometime or another.|6.9|13222
tt0066995|movie|Diamonds Are Forever|1971|120|Action,Adventure,Thriller|Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.|12/13/71|The man who made 007 a household number|6.5|107440
tt0067328|movie|The Last Picture Show|1971|118|Drama,Romance|The coming of age of a youth named Sonny in a small Texas town in the 1950s.|10/3/71|Anarene, Texas, 1951. Nothing much has changed...|8.0|48793
tt0067927|movie|Vanishing Point|1971|99|Action,Crime,Thriller|Kowalski works for a car delivery service. He takes delivery of a 1970 Dodge Challenger to take from Colorado to San Francisco, California. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.|1/15/71|It's the maximum trip... at maximum speed.|7.2|28887
tt0069113|movie|The Poseidon Adventure|1972|117|Action,Adventure,Drama|The Poseidon Adventure was one of the first Catastrophe films and began the Disaster Film genre. Director Neame tells the story of a group of people that must fight for their lives aboard a sinking ship. Based on the novel by Paul Gallico.|12/1/72|Who will survive-in one of the greatest escape adventures ever!|7.1|45925
tt0069257|movie|Shaft's Big Score!|1972|104|Action,Crime,Drama|John Shaft is back as the lady-loved black detective cop on the search for the murderer of a client.|6/8/72|Last time he was nice. This time he's ice!|6.0|3277
tt0070328|movie|Live and Let Die|1973|121|Action,Adventure,Thriller|James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.|7/5/73|Roger Moore is James Bond.|6.7|108706
tt0070608|movie|Robin Hood|1973|83|Adventure,Animation,Comedy|With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.|11/8/73|Meet Robin Hood and his MERRY MENagerie!|7.5|128250
tt0070735|movie|The Sting|1973|129|Comedy,Crime,Drama|Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.|12/25/73|...all it takes is a little confidence.|8.3|262429
tt0071604|movie|Hearts and Minds|1974|112|Documentary,History,War|This film recounts the history and attitudes of the opposing sides of the Vietnam War using archival news footage as well as their own film and interviews. A key theme is how attitudes of American racism and self-righteousness militarism helped create and prolong this bloody conflict. The film also endeaveors to give voice to the Vietnamese people themselves as to how the war has affected them and their reasons why they fight the United States and other western powers while showing the basic humanity of the people that US propaganda tried to dismiss.|1/1/74|The Forever War. Goes On|8.2|5789
tt0071771|movie|The Longest Yard|1974|121|Comedy,Crime,Drama|In this rough-and-tumble yarn, actually filmed on-location at the Georgia State Prision, the cons are the heroes and the guards are the heavies. Eddie Albert is the sadistic warden who'll gladly make any sacrifice to push his guards' semi-pro football team to a national championship.|8/21/74|It's Survival of the Fiercest and Funniest|7.1|19574
tt0071853|movie|Monty Python and the Holy Grail|1975|91|Adventure,Comedy,Fantasy|"""King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as """"it is a silly place""""."""|3/13/75|And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.|8.2|541140
tt0073802|movie|Three Days of the Condor|1975|117|Crime,Mystery,Thriller|A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.|9/24/75|His CIA code name is Condor. In the next seventy-two hours almost everyone he trusts will try to kill him.|7.4|56758
tt0074812|movie|Logan's Run|1976|119|Action,Adventure,Sci-Fi|An idyllic sci-fi future has one major drawback: All citizens get a chance of being 'renewed' in a Civic Ceremony at their 30th birthday, unless they run and escape before their time comes.|6/23/76|The only thing you can't have in Logan's world is your 30th birthday. Unless you run away.|6.8|57179
tt0074860|movie|Marathon Man|1976|125|Crime,Drama,Thriller|A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.|10/5/76|One man's dangerous attempts to clear his father's name.|7.4|64642
tt0075223|movie|Silver Streak|1976|114|Action,Comedy,Crime|A somewhat daffy book editor on a rail trip from Los Angeles to Chicago thinks that he sees a murdered man thrown from the train. When he can find no one who will believe him, he starts doing some investigating of his own. But all that accomplishes is to get the killer after him.|12/3/76|By train, by plane, by the edge of your seat - It's the most hilarious suspense ride of your life!|6.9|20447
tt0075265|movie|A Star Is Born|1976|139|Drama,Music,Romance|A Star Is Born is a 1976 rock music film telling the story of a young woman, played by Barbra Streisand who enters show business, and meets and falls in love with an established male star, played by Kris Kristofferson, only to find her career ascending while his goes into decline.|12/16/76||6.1|11929
tt0075718|movie|The Bad News Bears in Breaking Training|1977|100|Comedy,Family,Sport|Sentimental sequel film finds the Bears, somehow, the little league champions of California. As a result, the team is invited to play a between-games exhibition at the Houston Astrodome with the local champs, the Toros. Kelly Leak, the Bears' star player, decides to rejoin the team and go with them to Houston to make amends with his estranged father, Mike|7/8/77|The Bad News Bears are one year older and one year wilder.|5.6|3372
tt0076009|movie|Exorcist II: The Heretic|1977|117|Horror|Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?|6/17/77|It's four years later... what does she remember?|3.8|25248
tt0076299|movie|The Last Wave|1977|106|Drama,Fantasy,Mystery|White Australian lawyer David Burton agrees with reluctance to defend a group of aborigines charged with murdering one of their own. He suspects the victim was targeted for violating a tribal taboo, but the defendants deny any tribal association. Burton, plagued by apocalyptic visions of water, slowly realizes danger may come from his own involvement with the aborigines and their prophecies.|1/1/77|Hasn't the weather been strange...could it be a warning?|7.0|10078
tt0076809|movie|Tentacles|1977|102|Action,Adventure,Comedy|Several people disappear from and at the sea. Their bodies are found gnawed to the skeleton, even the marrow is missing. The scientists have no idea which animal could do such things. Dr. Turner begins to suspect that the company which builds a tunnel beneath the bay might have poisoned the environment and caused an octopus to mutate to giant dimensions...|2/25/77|It's Turning the Beach ... Into a Buffet!|3.7|4004
tt0077280|movie|The Buddy Holly Story|1978|114|Biography,Drama,Music|A film about the life and career of the early rock and roll star.|5/18/78|His Story Will Have You Singing, Laughing, Crying, Cheering And Stomping Your Feet.|7.2|9379
tt0077394|movie|Damien: Omen II|1978|107|Horror|Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle (Lee Grant and William Holden). Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire - and the world. Meanwhile, anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise.|6/9/78|The first time was only a warning.|6.2|32854
tt0077838|movie|The Last Waltz|1978|117|Biography,Documentary,Music|"""Martin Scorsese's rockumentary intertwines footage from """"The Band's"""" incredible farewell tour with probing backstage interviews and featured performances by Eric Clapton, Bob Dylan, Joni Mitchell, Ringo Starr and other rock legends."""|5/1/78|It Started as a Concert. It Became a Celebration.|8.1|18279
tt0078192|movie|The Priest|1978|109|Comedy,Drama|"""In the film, El Sacerdote, played well by Sim√≥n Andreu, viewers witness the long, silent, emotional and psychological turmoil of a celibate catholic priest. Despite his strong moral fiber he realizes, human bodies are constantly plagued with sinful images which his faith and profession forbids. After failing to deal with the tormenting demons, he seeks the help of his superiors who offer few options, insisting that spiritual platitudes are sufficient to deal with the """"Devil's temptations"""". Despite his best efforts, the haunting memories of his past remain vivid and troubling. Daily, he is reminded of his lustful needs, which range from a young boy to a married village beauty."""|5/1/78||6.5|212
tt0078446|movie|Up in Smoke|1978|86|Comedy,Music|"""An unemployed pot-smoking slacker and amateur drummer, Anthony Stoner ditches his strict parents and hits the road, eventually meeting kindred spirit Pedro de Pacas. While the drug-ingesting duo is soon arrested for possession of marijuana, Anthony and Pedro get released on a technicality, allowing them to continue their many misadventures and ultimately compete in a rock band contest, where they perform the raucous tune """"Earache My Eye."""""""|1/1/78|The movie that'll have you rolling in the aisles.|6.9|38886
tt0078902|movie|Breaking Away|1979|101|Comedy,Drama,Sport|Dave, nineteen, has just graduated high school, with his 3 friends, The comical Cyril, the warm hearted but short-tempered Moocher, and the athletic, spiteful but good-hearted Mike. Now, Dave enjoys racing bikes and hopes to race the Italians one day, and even takes up the Italian culture, much to his friends and parents annoyance.|5/24/79|The movie that tells you exactly what you can do with your high school diploma!|7.7|24047
tt0079574|movie|Moonraker|1979|126|Action,Adventure,Sci-Fi|During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.|6/26/79|Outer space now belongs to 007.|6.2|102105
tt0079576|movie|More American Graffiti|1979|110|Comedy,Drama,War|College graduates deal with Vietnam and other issues of the late '60s.|8/3/79|The sights and sounds of the '60s. There were bittersweet times. There were funny times. And it was all unforgettable.|5.3|4636
tt0079714|movie|Phantasm|1979|89|Horror,Sci-Fi|A young boy and his friends face off against a mysterious grave robber known only as the Tall Man, who keeps a mysterious arsenal of terrible weapons with him.|3/28/79|If this one doesn’t scare you, you’re already dead.|6.6|37760
tt0080117|movie|The Wanderers|1979|112|Crime,Drama,Romance|The streets of the Bronx are owned by 60‚Äôs youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‚ÄòThe Wanderers.‚Äô|7/13/79|It was the Wanderer's Against The World...|7.3|11490
tt0080360|movie|Altered States|1980|102|Horror,Sci-Fi,Thriller|A research scientist (William Hurt) explores the boundaries and frontiers of consciousness. Using sensory deprivation and hallucinogenic mixtures from native American shamans, he explores these altered states of consciousness and finds that memory, time, and perhaps reality itself are states of mind.|12/25/80|When he heard his cry for help it wasn't human|6.9|35910
tt0080377|movie|Any Which Way You Can|1980|116|Action,Comedy|Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'.|12/17/80|Faster, funnier and wilder. It'll knock you out.|6.1|19752
