tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0102426|movie|Mediterraneo|1991|96|Comedy,Drama,War|greek sea world war ii italian ship leaf handful soldier little island mission spot enemy ship hold island case attack village island seems abandoned single enemy sight soldier begin relax little thing change ship hit destroyed enemy soldier find abandoned actually island deserted greek understand italian harmless came hiding place mountain continue peaceful life soon soldier discover left behind god forgotten greek island bad thing|1/31/91|magical greek island soldier discover better make love instead war|7.4|15489
tt0102467|movie|Monster in a Box|1992|87|Comedy,Drama|story spalding gray attempt write novel first person account writing living dealing success trying successful|5/15/92|survived swimming cambodia adventure continues|7.5|842
tt0102757|movie|The Rapture|1991|100|Drama,Mystery|lonely telephone operator leading empty amoral life find god faith continually tested way beyond could ever imagined|10/4/91|go place movie seldom dare go|6.3|5464
tt0102799|movie|El robobo de la jojoya|1991|82|Comedy,Crime|two brother plan steal precious jewel nefertiti eye famous exhibition hall one want scuffle policeman dy one robber fall dead man|12/20/91||3.7|422
tt0102848|movie|Scanners II: The New Order|1991|104|Action,Horror,Sci-Fi|scanner discovers plot renegade element city government take power help evil scanner|6/28/91|make anything put mind|5.2|3346
tt0102945|movie|Sleeping with the Enemy|1991|99|Drama,Thriller|young woman fake death attempt escape nightmarish marriage discovers impossible elude controlling husband|2/8/91|self defense murder|6.2|58863
tt0103251|movie|White Palace|1990|103|Drama,Romance|max baron jewish advertising executive 20 still getting death wife nora baker 40 something diner waitress enjoys wilder side life mismatched attraction instant smoldering time however class age difference become obstacle relationship especially since max keep nora secret jewish friend upper crust associate forever|10/19/90|story younger man bolder woman|6.5|8380
tt0103873|movie|Dead Alive|1992|104|Comedy,Fantasy,Horror|sumatran rat monkey bite lionel cosgrove mother transformed zombie begin killing transforming entire town lionel race keep thing control|8/13/92|thing stay even die|7.5|98178
tt0103874|movie|Dracula|1992|128|Drama,Fantasy,Horror|dracula leaf captive jonathan harker transylvania london search mina harker spitting image dracula long dead wife elisabeta obsessed vampire hunter dr van helsing set end madness|11/13/92|love never dy|7.4|219141
tt0103893|movie|Buffy the Vampire Slayer|1992|86|Action,Comedy,Fantasy|blonde bouncy buffy typical high school cheerleader goal marry christian slater die nothing get way time shop change strange man informs chosen fate kill vampire help romantic rebel buffy soon spending school night protecting l lothos vampire king sidekick lefty determined gang bloodsucker everything expect teen queen valley|7/24/92|know sucker see one|5.6|45602
